response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch
gorilla,rank-1,792,gemini-3-pro-preview,24,35,1,toad,animals-gen,hills,"['African', 'Primates']",False,"['ReptileAmphibian', 'Water']",False
hippo,rank-1,792,gemini-3-pro-preview,25,35,1,tick,animals-gen,hills,,True,['Insects'],True
rhino,rank-1,792,gemini-3-pro-preview,26,35,1,flea,animals-gen,hills,['African'],True,['Insects'],False
kangaroo,rank-1,792,gemini-3-pro-preview,27,35,1,gnat,animals-gen,hills,['Australian'],True,['Insects'],False
snake,rank-1,792,gemini-3-pro-preview,28,35,1,llama,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['BeastsOfBurden', 'UsedForFur']",True
lizard,rank-1,792,gemini-3-pro-preview,29,35,1,gazelle,animals-gen,hills,['ReptileAmphibian'],False,"['African', 'Deers']",True
turtle,rank-1,792,gemini-3-pro-preview,30,35,1,raccoon,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['NorthAmerican'],True
frog,rank-1,792,gemini-3-pro-preview,31,35,1,deer,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",False
fish,rank-1,792,gemini-3-pro-preview,32,35,1,buck,animals-gen,hills,"['Fish', 'Water']",False,['Deers'],False
whale,rank-1,792,gemini-3-pro-preview,33,35,1,bat,animals-gen,hills,"['Fish', 'Water']",False,['Insectivores'],True
dolphin,rank-1,792,gemini-3-pro-preview,34,35,1,wolf,animals-gen,hills,"['Insects', 'Water']",False,"['Canine', 'NorthAmerican']",True
shark,rank-1,792,gemini-3-pro-preview,35,35,1,cougar,animals-gen,hills,"['Fish', 'Water']",False,"['Feline', 'NorthAmerican']",False
dog,rank-1,477,gemini-3-pro-preview,1,34,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,477,gemini-3-pro-preview,2,34,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,477,gemini-3-pro-preview,3,34,1,rat,animals-gen,hills,"['Bird', 'Rodents']",True,['Rodents'],True
rat,rank-1,477,gemini-3-pro-preview,4,34,1,mouse,animals-gen,hills,['Rodents'],False,"['Bird', 'Rodents']",False
hamster,rank-1,477,gemini-3-pro-preview,5,34,1,tiger,animals-gen,hills,"['Pets', 'Rodents']",False,"['African', 'Feline']",True
guinea pig,rank-1,477,gemini-3-pro-preview,6,34,1,bear,animals-gen,hills,"['Pets', 'Rodents']",False,['NorthAmerican'],True
rabbit,rank-1,477,gemini-3-pro-preview,7,34,1,lion,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['African', 'Feline']",True
cow,rank-1,477,gemini-3-pro-preview,8,34,1,cheetah,animals-gen,hills,"['Bovine', 'Farm']",True,"['African', 'Feline']",False
horse,rank-1,477,gemini-3-pro-preview,9,34,1,python,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,['ReptileAmphibian'],True
pig,rank-1,477,gemini-3-pro-preview,10,34,1,panther,animals-gen,hills,['Farm'],False,"['African', 'Feline']",True
sheep,rank-1,477,gemini-3-pro-preview,11,34,1,zebra,animals-gen,hills,['Farm'],False,['African'],False
goat,rank-1,477,gemini-3-pro-preview,12,34,1,giraffe,animals-gen,hills,['Farm'],False,['African'],False
chicken,rank-1,477,gemini-3-pro-preview,13,34,1,elephant,animals-gen,hills,"['Bird', 'Farm']",False,['African'],False
duck,rank-1,477,gemini-3-pro-preview,14,34,1,penguin,animals-gen,hills,['Bird'],False,"['Arctic', 'Bird', 'Water']",True
goose,rank-1,477,gemini-3-pro-preview,15,34,1,polarbear,animals-gen,hills,['Water'],True,['Arctic'],False
turkey,rank-1,477,gemini-3-pro-preview,16,34,1,panda,animals-gen,hills,"['Bird', 'Farm']",True,['Asian'],True
eagle,rank-1,477,gemini-3-pro-preview,17,34,1,snake,animals-gen,hills,['Bird'],False,"['Farm', 'ReptileAmphibian']",True
hawk,rank-1,477,gemini-3-pro-preview,18,34,1,gardensnake,animals-gen,hills,['Bird'],False,['ReptileAmphibian'],False
owl,rank-1,477,gemini-3-pro-preview,19,34,1,snail,animals-gen,hills,['Bird'],False,['Water'],True
squirrel,rank-1,477,gemini-3-pro-preview,20,34,1,toad,animals-gen,hills,"['NorthAmerican', 'Rodents']",True,"['ReptileAmphibian', 'Water']",False
chipmunk,rank-1,477,gemini-3-pro-preview,21,34,1,frog,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['ReptileAmphibian', 'Water']",False
raccoon,rank-1,477,gemini-3-pro-preview,22,34,1,chameleon,animals-gen,hills,['NorthAmerican'],False,"['African', 'ReptileAmphibian']",False
skunk,rank-1,477,gemini-3-pro-preview,23,34,1,lizard,animals-gen,hills,"['NorthAmerican', 'Weasels']",False,['ReptileAmphibian'],False
deer,rank-1,477,gemini-3-pro-preview,24,34,1,slug,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Water'],True
bear,rank-1,477,gemini-3-pro-preview,25,34,1,horse,animals-gen,hills,['NorthAmerican'],False,"['BeastsOfBurden', 'Farm']",True
wolf,rank-1,477,gemini-3-pro-preview,26,34,1,camel,animals-gen,hills,"['Canine', 'NorthAmerican']",False,"['African', 'BeastsOfBurden']",False
fox,rank-1,477,gemini-3-pro-preview,27,34,1,kangaroo,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Australian'],True
lion,rank-1,477,gemini-3-pro-preview,28,34,1,koala,animals-gen,hills,"['African', 'Feline']",True,['Australian'],False
tiger,rank-1,477,gemini-3-pro-preview,29,34,1,shark,animals-gen,hills,"['African', 'Feline']",False,"['Fish', 'Water']",True
leopard,rank-1,477,gemini-3-pro-preview,30,34,1,whale,animals-gen,hills,"['African', 'Feline']",False,"['Fish', 'Water']",False
cheetah,rank-1,477,gemini-3-pro-preview,31,34,1,goldfish,animals-gen,hills,"['African', 'Feline']",False,"['Fish', 'Pets', 'Water']",False
elephant,rank-1,477,gemini-3-pro-preview,32,34,1,angelfish,animals-gen,hills,['African'],False,['Fish'],False
giraffe,rank-1,477,gemini-3-pro-preview,33,34,1,salamander,animals-gen,hills,['African'],False,"['ReptileAmphibian', 'Water']",True
zebra,rank-1,477,gemini-3-pro-preview,34,34,1,spider,animals-gen,hills,['African'],False,"['Arachnid', 'Farm']",True
cow,rank-1,495,gemini-3-pro-preview,1,31,1,cow,animals-gen,hills,"['Bovine', 'Farm']",True,"['Bovine', 'Farm']",True
pig,rank-1,495,gemini-3-pro-preview,2,31,1,cheetah,animals-gen,hills,['Farm'],False,"['African', 'Feline']",True
horse,rank-1,495,gemini-3-pro-preview,3,31,1,bird,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,['Bird'],True
sheep,rank-1,495,gemini-3-pro-preview,4,31,1,goldfish,animals-gen,hills,['Farm'],False,"['Fish', 'Pets', 'Water']",True
goat,rank-1,495,gemini-3-pro-preview,5,31,1,toucan,animals-gen,hills,['Farm'],False,['Bird'],True
chicken,rank-1,495,gemini-3-pro-preview,6,31,1,dog,animals-gen,hills,"['Bird', 'Farm']",False,"['Canine', 'Pets']",True
rooster,rank-1,495,gemini-3-pro-preview,7,31,1,cat,animals-gen,hills,['Farm'],False,['Pets'],False
duck,rank-1,495,gemini-3-pro-preview,8,31,1,squirrel,animals-gen,hills,['Bird'],True,"['NorthAmerican', 'Rodents']",True
goose,rank-1,495,gemini-3-pro-preview,9,31,1,bat,animals-gen,hills,['Water'],True,['Insectivores'],True
dog,rank-1,495,gemini-3-pro-preview,10,31,1,elephant,animals-gen,hills,"['Canine', 'Pets']",True,['African'],True
cat,rank-1,495,gemini-3-pro-preview,11,31,1,flamingo,animals-gen,hills,['Pets'],False,['Bird'],True
mouse,rank-1,495,gemini-3-pro-preview,12,31,1,rhino,animals-gen,hills,"['Bird', 'Rodents']",True,['African'],True
rat,rank-1,495,gemini-3-pro-preview,13,31,1,goat,animals-gen,hills,['Rodents'],False,['Farm'],True
rabbit,rank-1,495,gemini-3-pro-preview,14,31,1,horse,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,"['BeastsOfBurden', 'Farm']",False
squirrel,rank-1,495,gemini-3-pro-preview,15,31,1,shark,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['Fish', 'Water']",True
chipmunk,rank-1,495,gemini-3-pro-preview,16,31,1,human,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,['Primates'],True
deer,rank-1,495,gemini-3-pro-preview,17,31,1,fish,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['Fish', 'Water']",True
bear,rank-1,495,gemini-3-pro-preview,18,31,1,bass,animals-gen,hills,['NorthAmerican'],False,['Fish'],False
wolf,rank-1,495,gemini-3-pro-preview,19,31,1,eagle,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Bird'],True
fox,rank-1,495,gemini-3-pro-preview,20,31,1,stallion,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Farm'],True
lion,rank-1,495,gemini-3-pro-preview,21,31,1,cardinal,animals-gen,hills,"['African', 'Feline']",True,['Bird'],True
tiger,rank-1,495,gemini-3-pro-preview,22,31,1,tiger,animals-gen,hills,"['African', 'Feline']",False,"['African', 'Feline']",True
elephant,rank-1,495,gemini-3-pro-preview,23,31,1,lion,animals-gen,hills,['African'],False,"['African', 'Feline']",False
giraffe,rank-1,495,gemini-3-pro-preview,24,31,1,pony,animals-gen,hills,['African'],False,"['BeastsOfBurden', 'Farm']",True
zebra,rank-1,495,gemini-3-pro-preview,25,31,1,wildcat,animals-gen,hills,['African'],False,['Feline'],True
monkey,rank-1,495,gemini-3-pro-preview,26,31,1,wolverine,animals-gen,hills,"['African', 'Primates']",False,['Weasels'],True
gorilla,rank-1,495,gemini-3-pro-preview,27,31,1,gull,animals-gen,hills,"['African', 'Primates']",False,['Bird'],True
chimpanzee,rank-1,495,gemini-3-pro-preview,28,31,1,rat,animals-gen,hills,"['African', 'Primates']",False,['Rodents'],True
whale,rank-1,495,gemini-3-pro-preview,29,31,1,mouse,animals-gen,hills,"['Fish', 'Water']",True,"['Bird', 'Rodents']",False
dolphin,rank-1,495,gemini-3-pro-preview,30,31,1,pheasant,animals-gen,hills,"['Insects', 'Water']",False,['Bird'],False
shark,rank-1,495,gemini-3-pro-preview,31,31,1,snake,animals-gen,hills,"['Fish', 'Water']",False,"['Farm', 'ReptileAmphibian']",True
dog,rank-1,497,gemini-3-pro-preview,1,27,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,497,gemini-3-pro-preview,2,27,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,497,gemini-3-pro-preview,3,27,1,fox,animals-gen,hills,"['Bird', 'Rodents']",True,"['Canine', 'NorthAmerican', 'UsedForFur']",True
rat,rank-1,497,gemini-3-pro-preview,4,27,1,wolf,animals-gen,hills,['Rodents'],False,"['Canine', 'NorthAmerican']",False
rabbit,rank-1,497,gemini-3-pro-preview,5,27,1,bear,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,['NorthAmerican'],False
cow,rank-1,497,gemini-3-pro-preview,6,27,1,squirrel,animals-gen,hills,"['Bovine', 'Farm']",True,"['NorthAmerican', 'Rodents']",False
pig,rank-1,497,gemini-3-pro-preview,7,27,1,chipmunk,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Rodents']",False
horse,rank-1,497,gemini-3-pro-preview,8,27,1,rabbit,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False
sheep,rank-1,497,gemini-3-pro-preview,9,27,1,horse,animals-gen,hills,['Farm'],False,"['BeastsOfBurden', 'Farm']",True
goat,rank-1,497,gemini-3-pro-preview,10,27,1,tiger,animals-gen,hills,['Farm'],False,"['African', 'Feline']",True
lion,rank-1,497,gemini-3-pro-preview,11,27,1,lion,animals-gen,hills,"['African', 'Feline']",True,"['African', 'Feline']",False
tiger,rank-1,497,gemini-3-pro-preview,12,27,1,cheetah,animals-gen,hills,"['African', 'Feline']",False,"['African', 'Feline']",False
bear,rank-1,497,gemini-3-pro-preview,13,27,1,hippopotamus,animals-gen,hills,['NorthAmerican'],True,['African'],False
wolf,rank-1,497,gemini-3-pro-preview,14,27,1,crocodile,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['ReptileAmphibian'],True
fox,rank-1,497,gemini-3-pro-preview,15,27,1,alligator,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,"['ReptileAmphibian', 'Water']",False
elephant,rank-1,497,gemini-3-pro-preview,16,27,1,wolverine,animals-gen,hills,['African'],True,['Weasels'],True
giraffe,rank-1,497,gemini-3-pro-preview,17,27,1,jaguar,animals-gen,hills,['African'],False,['Feline'],True
zebra,rank-1,497,gemini-3-pro-preview,18,27,1,snake,animals-gen,hills,['African'],False,"['Farm', 'ReptileAmphibian']",True
monkey,rank-1,497,gemini-3-pro-preview,19,27,1,gerbil,animals-gen,hills,"['African', 'Primates']",False,"['Pets', 'Rodents']",True
gorilla,rank-1,497,gemini-3-pro-preview,20,27,1,cow,animals-gen,hills,"['African', 'Primates']",False,"['Bovine', 'Farm']",True
snake,rank-1,497,gemini-3-pro-preview,21,27,1,hen,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Farm'],False
lizard,rank-1,497,gemini-3-pro-preview,22,27,1,rooster,animals-gen,hills,['ReptileAmphibian'],False,['Farm'],False
turtle,rank-1,497,gemini-3-pro-preview,23,27,1,pig,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Farm'],False
frog,rank-1,497,gemini-3-pro-preview,24,27,1,goose,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Water'],True
fish,rank-1,497,gemini-3-pro-preview,25,27,1,dolphin,animals-gen,hills,"['Fish', 'Water']",False,"['Insects', 'Water']",False
shark,rank-1,497,gemini-3-pro-preview,26,27,1,whale,animals-gen,hills,"['Fish', 'Water']",False,"['Fish', 'Water']",False
whale,rank-1,497,gemini-3-pro-preview,27,27,1,polarbear,animals-gen,hills,"['Fish', 'Water']",False,['Arctic'],True
cat,rank-1,51,gemini-3-pro-preview,1,35,1,cat,animals-gen,hills,['Pets'],True,['Pets'],True
dog,rank-1,51,gemini-3-pro-preview,2,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",False,"['Canine', 'Pets']",False
hamster,rank-1,51,gemini-3-pro-preview,3,35,1,mouse,animals-gen,hills,"['Pets', 'Rodents']",False,"['Bird', 'Rodents']",True
guinea pig,rank-1,51,gemini-3-pro-preview,4,35,1,rat,animals-gen,hills,"['Pets', 'Rodents']",False,['Rodents'],False
rabbit,rank-1,51,gemini-3-pro-preview,5,35,1,giraffe,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['African'],True
mouse,rank-1,51,gemini-3-pro-preview,6,35,1,lion,animals-gen,hills,"['Bird', 'Rodents']",True,"['African', 'Feline']",False
rat,rank-1,51,gemini-3-pro-preview,7,35,1,zebra,animals-gen,hills,['Rodents'],False,['African'],False
cow,rank-1,51,gemini-3-pro-preview,8,35,1,rhino,animals-gen,hills,"['Bovine', 'Farm']",True,['African'],False
horse,rank-1,51,gemini-3-pro-preview,9,35,1,ostrich,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['African', 'Bird']",False
pig,rank-1,51,gemini-3-pro-preview,10,35,1,meerkat,animals-gen,hills,['Farm'],False,['African'],False
sheep,rank-1,51,gemini-3-pro-preview,11,35,1,tiger,animals-gen,hills,['Farm'],False,"['African', 'Feline']",False
goat,rank-1,51,gemini-3-pro-preview,12,35,1,bear,animals-gen,hills,['Farm'],False,['NorthAmerican'],True
chicken,rank-1,51,gemini-3-pro-preview,13,35,1,bat,animals-gen,hills,"['Bird', 'Farm']",False,['Insectivores'],True
duck,rank-1,51,gemini-3-pro-preview,14,35,1,aardvark,animals-gen,hills,['Bird'],False,"['African', 'Insectivores']",False
turkey,rank-1,51,gemini-3-pro-preview,15,35,1,elephant,animals-gen,hills,"['Bird', 'Farm']",False,['African'],False
lion,rank-1,51,gemini-3-pro-preview,16,35,1,flea,animals-gen,hills,"['African', 'Feline']",True,['Insects'],True
tiger,rank-1,51,gemini-3-pro-preview,17,35,1,ferret,animals-gen,hills,"['African', 'Feline']",False,"['Farm', 'Weasels']",True
bear,rank-1,51,gemini-3-pro-preview,18,35,1,parrot,animals-gen,hills,['NorthAmerican'],True,"['Bird', 'Pets']",True
elephant,rank-1,51,gemini-3-pro-preview,19,35,1,hippopotamus,animals-gen,hills,['African'],True,['African'],True
giraffe,rank-1,51,gemini-3-pro-preview,20,35,1,alligator,animals-gen,hills,['African'],False,"['ReptileAmphibian', 'Water']",True
zebra,rank-1,51,gemini-3-pro-preview,21,35,1,crocodile,animals-gen,hills,['African'],False,['ReptileAmphibian'],False
monkey,rank-1,51,gemini-3-pro-preview,22,35,1,frog,animals-gen,hills,"['African', 'Primates']",False,"['ReptileAmphibian', 'Water']",False
gorilla,rank-1,51,gemini-3-pro-preview,23,35,1,whale,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",False
chimpanzee,rank-1,51,gemini-3-pro-preview,24,35,1,shark,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",False
snake,rank-1,51,gemini-3-pro-preview,25,35,1,clownfish,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Fish'],False
lizard,rank-1,51,gemini-3-pro-preview,26,35,1,guppy,animals-gen,hills,['ReptileAmphibian'],False,"['Fish', 'Pets']",False
crocodile,rank-1,51,gemini-3-pro-preview,27,35,1,goldfish,animals-gen,hills,['ReptileAmphibian'],False,"['Fish', 'Pets', 'Water']",False
alligator,rank-1,51,gemini-3-pro-preview,28,35,1,snake,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Farm', 'ReptileAmphibian']",True
turtle,rank-1,51,gemini-3-pro-preview,29,35,1,snail,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Water'],True
frog,rank-1,51,gemini-3-pro-preview,30,35,1,deer,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",True
whale,rank-1,51,gemini-3-pro-preview,31,35,1,elk,animals-gen,hills,"['Fish', 'Water']",False,"['Deers', 'NorthAmerican']",False
dolphin,rank-1,51,gemini-3-pro-preview,32,35,1,buffalo,animals-gen,hills,"['Insects', 'Water']",False,"['African', 'Bovine']",True
shark,rank-1,51,gemini-3-pro-preview,33,35,1,monkey,animals-gen,hills,"['Fish', 'Water']",False,"['African', 'Primates']",False
octopus,rank-1,51,gemini-3-pro-preview,34,35,1,hyena,animals-gen,hills,['Water'],False,"['African', 'Canine']",False
seal,rank-1,51,gemini-3-pro-preview,35,35,1,kangaroo,animals-gen,hills,"['Arctic', 'Water']",False,['Australian'],True
skunk,rank-1,498,gemini-3-pro-preview,1,26,1,skunk,animals-gen,hills,"['NorthAmerican', 'Weasels']",True,"['NorthAmerican', 'Weasels']",True
raccoon,rank-1,498,gemini-3-pro-preview,2,26,1,giraffe,animals-gen,hills,['NorthAmerican'],False,['African'],True
squirrel,rank-1,498,gemini-3-pro-preview,3,26,1,dog,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['Canine', 'Pets']",True
chipmunk,rank-1,498,gemini-3-pro-preview,4,26,1,cat,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,['Pets'],False
rabbit,rank-1,498,gemini-3-pro-preview,5,26,1,monkey,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['African', 'Primates']",True
fox,rank-1,498,gemini-3-pro-preview,6,26,1,kangaroo,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Australian'],True
deer,rank-1,498,gemini-3-pro-preview,7,26,1,zebra,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['African'],True
bear,rank-1,498,gemini-3-pro-preview,8,26,1,dinosaur,animals-gen,hills,['NorthAmerican'],False,"['Dinosaur', 'ReptileAmphibian']",True
wolf,rank-1,498,gemini-3-pro-preview,9,26,1,spider,animals-gen,hills,"['Canine', 'NorthAmerican']",False,"['Arachnid', 'Farm']",True
moose,rank-1,498,gemini-3-pro-preview,10,26,1,snake,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['Farm', 'ReptileAmphibian']",False
beaver,rank-1,498,gemini-3-pro-preview,11,26,1,ant,animals-gen,hills,"['NorthAmerican', 'Rodents', 'UsedForFur', 'Water']",False,['Insects'],True
otter,rank-1,498,gemini-3-pro-preview,12,26,1,bee,animals-gen,hills,"['Water', 'Weasels']",False,['Insects'],False
badger,rank-1,498,gemini-3-pro-preview,13,26,1,mosquito,animals-gen,hills,"['NorthAmerican', 'Weasels']",False,['Insects'],False
porcupine,rank-1,498,gemini-3-pro-preview,14,26,1,bird,animals-gen,hills,['Rodents'],True,['Bird'],True
hedgehog,rank-1,498,gemini-3-pro-preview,15,26,1,eagle,animals-gen,hills,"['Insectivores', 'Rodents']",False,['Bird'],False
mouse,rank-1,498,gemini-3-pro-preview,16,26,1,tiger,animals-gen,hills,"['Bird', 'Rodents']",False,"['African', 'Feline']",True
rat,rank-1,498,gemini-3-pro-preview,17,26,1,lion,animals-gen,hills,['Rodents'],False,"['African', 'Feline']",False
hamster,rank-1,498,gemini-3-pro-preview,18,26,1,bear,animals-gen,hills,"['Pets', 'Rodents']",False,['NorthAmerican'],True
guinea pig,rank-1,498,gemini-3-pro-preview,19,26,1,mountainlion,animals-gen,hills,"['Pets', 'Rodents']",False,"['Feline', 'NorthAmerican']",False
cat,rank-1,498,gemini-3-pro-preview,20,26,1,devil,animals-gen,hills,['Pets'],False,['Australian'],True
dog,rank-1,498,gemini-3-pro-preview,21,26,1,bunny,animals-gen,hills,"['Canine', 'Pets']",False,['Rabbit'],True
horse,rank-1,498,gemini-3-pro-preview,22,26,1,raccoon,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,['NorthAmerican'],True
cow,rank-1,498,gemini-3-pro-preview,23,26,1,deer,animals-gen,hills,"['Bovine', 'Farm']",False,"['Deers', 'NorthAmerican']",False
pig,rank-1,498,gemini-3-pro-preview,24,26,1,tarantula,animals-gen,hills,['Farm'],False,['Insects'],True
sheep,rank-1,498,gemini-3-pro-preview,25,26,1,squirrel,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Rodents']",True
goat,rank-1,498,gemini-3-pro-preview,26,26,1,hamster,animals-gen,hills,['Farm'],False,"['Pets', 'Rodents']",False
dog,rank-1,693,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,693,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,693,gemini-3-pro-preview,3,35,1,ferret,animals-gen,hills,"['Bird', 'Rodents']",True,"['Farm', 'Weasels']",True
rat,rank-1,693,gemini-3-pro-preview,4,35,1,mouse,animals-gen,hills,['Rodents'],False,"['Bird', 'Rodents']",True
hamster,rank-1,693,gemini-3-pro-preview,5,35,1,rat,animals-gen,hills,"['Pets', 'Rodents']",False,['Rodents'],False
guinea pig,rank-1,693,gemini-3-pro-preview,6,35,1,hamster,animals-gen,hills,"['Pets', 'Rodents']",False,"['Pets', 'Rodents']",False
rabbit,rank-1,693,gemini-3-pro-preview,7,35,1,goat,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Farm'],True
horse,rank-1,693,gemini-3-pro-preview,8,35,1,chicken,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Bird', 'Farm']",False
cow,rank-1,693,gemini-3-pro-preview,9,35,1,cow,animals-gen,hills,"['Bovine', 'Farm']",False,"['Bovine', 'Farm']",False
pig,rank-1,693,gemini-3-pro-preview,10,35,1,duck,animals-gen,hills,['Farm'],False,['Bird'],True
sheep,rank-1,693,gemini-3-pro-preview,11,35,1,goose,animals-gen,hills,['Farm'],False,['Water'],True
goat,rank-1,693,gemini-3-pro-preview,12,35,1,turkey,animals-gen,hills,['Farm'],False,"['Bird', 'Farm']",True
chicken,rank-1,693,gemini-3-pro-preview,13,35,1,pig,animals-gen,hills,"['Bird', 'Farm']",False,['Farm'],False
