response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch,response_unmodified,embedding_switch_prediction,switch_embedding
dolphin,rank-1,384,gemini-3-flash-preview,19,35,1,raccoon,animals-gen,hills,"['Insects', 'Water']",False,['NorthAmerican'],True,dolphin,False,median
shark,rank-1,384,gemini-3-flash-preview,20,35,1,hamster,animals-gen,hills,"['Fish', 'Water']",False,"['Pets', 'Rodents']",True,shark,False,median
hippo,rank-1,384,gemini-3-flash-preview,21,35,1,gerbil,animals-gen,hills,,True,"['Pets', 'Rodents']",False,hippo,True,median
rhino,rank-1,384,gemini-3-flash-preview,22,35,1,wombat,animals-gen,hills,['African'],True,['Australian'],True,rhino,False,median
elephant,rank-1,384,gemini-3-flash-preview,23,35,1,mink,animals-gen,hills,['African'],False,"['UsedForFur', 'Weasels']",True,elephant,False,median
giraffe,rank-1,384,gemini-3-flash-preview,24,35,1,muskrat,animals-gen,hills,['African'],False,"['Rodents', 'Water']",True,giraffe,False,median
zebra,rank-1,384,gemini-3-flash-preview,25,35,1,deer,animals-gen,hills,['African'],False,"['Deers', 'NorthAmerican']",True,zebra,False,median
lion,rank-1,384,gemini-3-flash-preview,26,35,1,moose,animals-gen,hills,"['African', 'Feline']",False,"['Deers', 'NorthAmerican']",False,lion,True,median
tiger,rank-1,384,gemini-3-flash-preview,27,35,1,skunk,animals-gen,hills,"['African', 'Feline']",False,"['NorthAmerican', 'Weasels']",False,tiger,False,median
leopard,rank-1,384,gemini-3-flash-preview,28,35,1,elk,animals-gen,hills,"['African', 'Feline']",False,"['Deers', 'NorthAmerican']",False,leopard,False,median
cheetah,rank-1,384,gemini-3-flash-preview,29,35,1,lizard,animals-gen,hills,"['African', 'Feline']",False,['ReptileAmphibian'],True,cheetah,False,median
hyena,rank-1,384,gemini-3-flash-preview,30,35,1,whale,animals-gen,hills,"['African', 'Canine']",False,"['Fish', 'Water']",True,hyena,False,median
monkey,rank-1,384,gemini-3-flash-preview,31,35,1,dolphin,animals-gen,hills,"['African', 'Primates']",False,"['Insects', 'Water']",False,monkey,True,median
gorilla,rank-1,384,gemini-3-flash-preview,32,35,1,goldfish,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Pets', 'Water']",False,gorilla,False,median
chimpanzee,rank-1,384,gemini-3-flash-preview,33,35,1,piranha,animals-gen,hills,"['African', 'Primates']",False,['Fish'],False,chimpanzee,False,median
horse,rank-1,384,gemini-3-flash-preview,34,35,1,shark,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Fish', 'Water']",False,horse,True,median
cow,rank-1,384,gemini-3-flash-preview,35,35,1,snake,animals-gen,hills,"['Bovine', 'Farm']",False,"['Farm', 'ReptileAmphibian']",True,cow,False,median
dog,rank-1,695,gemini-3-flash-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,695,gemini-3-flash-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
hamster,rank-1,695,gemini-3-flash-preview,3,35,1,lion,animals-gen,hills,"['Pets', 'Rodents']",False,"['African', 'Feline']",True,hamster,False,median
rabbit,rank-1,695,gemini-3-flash-preview,4,35,1,tiger,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['African', 'Feline']",False,rabbit,False,median
guinea_pig,rank-1,695,gemini-3-flash-preview,5,35,1,bear,animals-gen,hills,"['Pets', 'Rodents']",False,['NorthAmerican'],True,guinea pig,True,median
goldfish,rank-1,695,gemini-3-flash-preview,6,35,1,zebra,animals-gen,hills,"['Fish', 'Pets', 'Water']",False,['African'],True,goldfish,True,median
horse,rank-1,695,gemini-3-flash-preview,7,35,1,ostrich,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['African', 'Bird']",False,horse,True,median
cow,rank-1,695,gemini-3-flash-preview,8,35,1,panda,animals-gen,hills,"['Bovine', 'Farm']",False,['Asian'],True,cow,False,median
pig,rank-1,695,gemini-3-flash-preview,9,35,1,monkey,animals-gen,hills,['Farm'],False,"['African', 'Primates']",True,pig,False,median
sheep,rank-1,695,gemini-3-flash-preview,10,35,1,ape,animals-gen,hills,['Farm'],False,['Primates'],False,sheep,False,median
goat,rank-1,695,gemini-3-flash-preview,11,35,1,gorilla,animals-gen,hills,['Farm'],False,"['African', 'Primates']",False,goat,False,median
chicken,rank-1,695,gemini-3-flash-preview,12,35,1,chimpanzee,animals-gen,hills,"['Bird', 'Farm']",False,"['African', 'Primates']",False,chicken,True,median
duck,rank-1,695,gemini-3-flash-preview,13,35,1,bird,animals-gen,hills,['Bird'],False,['Bird'],True,duck,False,median
goose,rank-1,695,gemini-3-flash-preview,14,35,1,bat,animals-gen,hills,['Water'],True,['Insectivores'],True,goose,False,median
swan,rank-1,695,gemini-3-flash-preview,15,35,1,groundhog,animals-gen,hills,['Bird'],True,"['Rodents', 'Weasels']",True,swan,True,median
deer,rank-1,695,gemini-3-flash-preview,16,35,1,dingo,animals-gen,hills,"['Deers', 'NorthAmerican']",True,['Australian'],True,deer,True,median
fox,rank-1,695,gemini-3-flash-preview,17,35,1,elephant,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['African'],True,fox,True,median
wolf,rank-1,695,gemini-3-flash-preview,18,35,1,giraffe,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['African'],False,wolf,True,median
bear,rank-1,695,gemini-3-flash-preview,19,35,1,walrus,animals-gen,hills,['NorthAmerican'],False,"['Arctic', 'Water']",True,bear,True,median
moose,rank-1,695,gemini-3-flash-preview,20,35,1,manatee,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['African', 'Water']",False,moose,True,median
lion,rank-1,695,gemini-3-flash-preview,21,35,1,seal,animals-gen,hills,"['African', 'Feline']",True,"['Arctic', 'Water']",False,lion,True,median
tiger,rank-1,695,gemini-3-flash-preview,22,35,1,whale,animals-gen,hills,"['African', 'Feline']",False,"['Fish', 'Water']",False,tiger,False,median
elephant,rank-1,695,gemini-3-flash-preview,23,35,1,pelican,animals-gen,hills,['African'],False,['Bird'],True,elephant,True,median
giraffe,rank-1,695,gemini-3-flash-preview,24,35,1,heron,animals-gen,hills,['African'],False,['Bird'],False,giraffe,False,median
zebra,rank-1,695,gemini-3-flash-preview,25,35,1,turtle,animals-gen,hills,['African'],False,"['ReptileAmphibian', 'Water']",True,zebra,False,median
hippo,rank-1,695,gemini-3-flash-preview,26,35,1,fish,animals-gen,hills,,True,"['Fish', 'Water']",False,hippo,False,median
rhino,rank-1,695,gemini-3-flash-preview,27,35,1,salmon,animals-gen,hills,['African'],True,['Fish'],False,rhino,False,median
monkey,rank-1,695,gemini-3-flash-preview,28,35,1,shrimp,animals-gen,hills,"['African', 'Primates']",False,['Fish'],False,monkey,True,median
gorilla,rank-1,695,gemini-3-flash-preview,29,35,1,crawfish,animals-gen,hills,"['African', 'Primates']",False,['Water'],True,gorilla,False,median
chimpanzee,rank-1,695,gemini-3-flash-preview,30,35,1,otter,animals-gen,hills,"['African', 'Primates']",False,"['Water', 'Weasels']",False,chimpanzee,False,median
parrot,rank-1,695,gemini-3-flash-preview,31,35,1,beaver,animals-gen,hills,"['Bird', 'Pets']",True,"['NorthAmerican', 'Rodents', 'UsedForFur', 'Water']",False,parrot,True,median
snake,rank-1,695,gemini-3-flash-preview,32,35,1,deer,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['Deers', 'NorthAmerican']",False,snake,True,median
whale,rank-1,695,gemini-3-flash-preview,33,35,1,moose,animals-gen,hills,"['Fish', 'Water']",True,"['Deers', 'NorthAmerican']",False,whale,True,median
dolphin,rank-1,695,gemini-3-flash-preview,34,35,1,goose,animals-gen,hills,"['Insects', 'Water']",False,['Water'],True,dolphin,False,median
shark,rank-1,695,gemini-3-flash-preview,35,35,1,hummingbird,animals-gen,hills,"['Fish', 'Water']",False,['Bird'],True,shark,False,median
deer,rank-1,386,gemini-3-flash-preview,1,35,1,deer,animals-gen,hills,"['Deers', 'NorthAmerican']",True,"['Deers', 'NorthAmerican']",True,deer,False,median
moose,rank-1,386,gemini-3-flash-preview,2,35,1,bear,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['NorthAmerican'],False,moose,False,median
elk,rank-1,386,gemini-3-flash-preview,3,35,1,dog,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['Canine', 'Pets']",True,elk,False,median
bear,rank-1,386,gemini-3-flash-preview,4,35,1,cat,animals-gen,hills,['NorthAmerican'],False,['Pets'],False,bear,True,median
wolf,rank-1,386,gemini-3-flash-preview,5,35,1,pigeon,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Bird'],True,wolf,True,median
fox,rank-1,386,gemini-3-flash-preview,6,35,1,bird,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Bird'],False,fox,True,median
squirrel,rank-1,386,gemini-3-flash-preview,7,35,1,hamster,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['Pets', 'Rodents']",True,squirrel,True,median
chipmunk,rank-1,386,gemini-3-flash-preview,8,35,1,guineapig,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['Pets', 'Rodents']",False,chipmunk,False,median
rabbit,rank-1,386,gemini-3-flash-preview,9,35,1,turtle,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['ReptileAmphibian', 'Water']",True,rabbit,True,median
raccoon,rank-1,386,gemini-3-flash-preview,10,35,1,frog,animals-gen,hills,['NorthAmerican'],False,"['ReptileAmphibian', 'Water']",False,raccoon,True,median
skunk,rank-1,386,gemini-3-flash-preview,11,35,1,worm,animals-gen,hills,"['NorthAmerican', 'Weasels']",False,"['Insects', 'Worms']",True,skunk,False,median
mouse,rank-1,386,gemini-3-flash-preview,12,35,1,fish,animals-gen,hills,"['Bird', 'Rodents']",True,"['Fish', 'Water']",True,mouse,True,median
rat,rank-1,386,gemini-3-flash-preview,13,35,1,trout,animals-gen,hills,['Rodents'],False,['Fish'],False,rat,False,median
hamster,rank-1,386,gemini-3-flash-preview,14,35,1,sheep,animals-gen,hills,"['Pets', 'Rodents']",False,['Farm'],True,hamster,False,median
guinea_pig,rank-1,386,gemini-3-flash-preview,15,35,1,goat,animals-gen,hills,"['Pets', 'Rodents']",False,['Farm'],False,guinea pig,False,median
cat,rank-1,386,gemini-3-flash-preview,16,35,1,donkey,animals-gen,hills,['Pets'],False,"['BeastsOfBurden', 'Farm']",False,cat,True,median
dog,rank-1,386,gemini-3-flash-preview,17,35,1,horse,animals-gen,hills,"['Canine', 'Pets']",False,"['BeastsOfBurden', 'Farm']",False,dog,False,median
horse,rank-1,386,gemini-3-flash-preview,18,35,1,cow,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Bovine', 'Farm']",False,horse,True,median
cow,rank-1,386,gemini-3-flash-preview,19,35,1,ostrich,animals-gen,hills,"['Bovine', 'Farm']",False,"['African', 'Bird']",True,cow,True,median
pig,rank-1,386,gemini-3-flash-preview,20,35,1,peacock,animals-gen,hills,['Farm'],False,['Bird'],False,pig,False,median
sheep,rank-1,386,gemini-3-flash-preview,21,35,1,groundhog,animals-gen,hills,['Farm'],False,"['Rodents', 'Weasels']",True,sheep,True,median
goat,rank-1,386,gemini-3-flash-preview,22,35,1,prairiedog,animals-gen,hills,['Farm'],False,['Rodents'],False,goat,False,median
chicken,rank-1,386,gemini-3-flash-preview,23,35,1,bison,animals-gen,hills,"['Bird', 'Farm']",False,"['Bovine', 'NorthAmerican']",True,chicken,True,median
duck,rank-1,386,gemini-3-flash-preview,24,35,1,buffalo,animals-gen,hills,['Bird'],False,"['African', 'Bovine']",False,duck,False,median
goose,rank-1,386,gemini-3-flash-preview,25,35,1,giraffe,animals-gen,hills,['Water'],True,['African'],False,goose,False,median
ostrich,rank-1,386,gemini-3-flash-preview,26,35,1,zebra,animals-gen,hills,"['African', 'Bird']",True,['African'],False,ostrich,True,median
zebra,rank-1,386,gemini-3-flash-preview,27,35,1,elephant,animals-gen,hills,['African'],False,['African'],False,zebra,True,median
giraffe,rank-1,386,gemini-3-flash-preview,28,35,1,monkey,animals-gen,hills,['African'],False,"['African', 'Primates']",False,giraffe,False,median
elephant,rank-1,386,gemini-3-flash-preview,29,35,1,alligator,animals-gen,hills,['African'],False,"['ReptileAmphibian', 'Water']",True,elephant,False,median
lion,rank-1,386,gemini-3-flash-preview,30,35,1,crocodile,animals-gen,hills,"['African', 'Feline']",False,['ReptileAmphibian'],False,lion,False,median
tiger,rank-1,386,gemini-3-flash-preview,31,35,1,snake,animals-gen,hills,"['African', 'Feline']",False,"['Farm', 'ReptileAmphibian']",False,tiger,False,median
cheetah,rank-1,386,gemini-3-flash-preview,32,35,1,spider,animals-gen,hills,"['African', 'Feline']",False,"['Arachnid', 'Farm']",False,cheetah,False,median
leopard,rank-1,386,gemini-3-flash-preview,33,35,1,mouse,animals-gen,hills,"['African', 'Feline']",False,"['Bird', 'Rodents']",True,leopard,False,median
hyena,rank-1,386,gemini-3-flash-preview,34,35,1,rat,animals-gen,hills,"['African', 'Canine']",False,['Rodents'],False,hyena,True,median
monkey,rank-1,386,gemini-3-flash-preview,35,35,1,bat,animals-gen,hills,"['African', 'Primates']",False,['Insectivores'],True,monkey,True,median
dolphin,rank-1,596,gemini-3-flash-preview,1,30,1,dolphin,animals-gen,hills,"['Insects', 'Water']",True,"['Insects', 'Water']",True,dolphin,False,median
whale,rank-1,596,gemini-3-flash-preview,2,30,1,cat,animals-gen,hills,"['Fish', 'Water']",False,['Pets'],True,whale,False,median
shark,rank-1,596,gemini-3-flash-preview,3,30,1,dog,animals-gen,hills,"['Fish', 'Water']",False,"['Canine', 'Pets']",False,shark,False,median
seal,rank-1,596,gemini-3-flash-preview,4,30,1,lion,animals-gen,hills,"['Arctic', 'Water']",False,"['African', 'Feline']",True,seal,True,median
sealion,rank-1,596,gemini-3-flash-preview,5,30,1,tiger,animals-gen,hills,['Water'],False,"['African', 'Feline']",False,sea lion,True,median
otter,rank-1,596,gemini-3-flash-preview,6,30,1,bear,animals-gen,hills,"['Water', 'Weasels']",False,['NorthAmerican'],True,otter,True,median
penguin,rank-1,596,gemini-3-flash-preview,7,30,1,giraffe,animals-gen,hills,"['Arctic', 'Bird', 'Water']",False,['African'],True,penguin,True,median
polar_bear,rank-1,596,gemini-3-flash-preview,8,30,1,elephant,animals-gen,hills,['Arctic'],False,['African'],False,polar bear,True,median
wolf,rank-1,596,gemini-3-flash-preview,9,30,1,zebra,animals-gen,hills,"['Canine', 'NorthAmerican']",True,['African'],False,wolf,True,median
fox,rank-1,596,gemini-3-flash-preview,10,30,1,fish,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,"['Fish', 'Water']",True,fox,True,median
bear,rank-1,596,gemini-3-flash-preview,11,30,1,whale,animals-gen,hills,['NorthAmerican'],False,"['Fish', 'Water']",False,bear,True,median
deer,rank-1,596,gemini-3-flash-preview,12,30,1,starfish,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Water'],False,deer,True,median
moose,rank-1,596,gemini-3-flash-preview,13,30,1,turtle,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['ReptileAmphibian', 'Water']",False,moose,False,median
horse,rank-1,596,gemini-3-flash-preview,14,30,1,octopus,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,['Water'],False,horse,True,median
cow,rank-1,596,gemini-3-flash-preview,15,30,1,seahorse,animals-gen,hills,"['Bovine', 'Farm']",False,['Water'],False,cow,False,median
pig,rank-1,596,gemini-3-flash-preview,16,30,1,bat,animals-gen,hills,['Farm'],False,['Insectivores'],True,pig,False,median
chicken,rank-1,596,gemini-3-flash-preview,17,30,1,bird,animals-gen,hills,"['Bird', 'Farm']",False,['Bird'],True,chicken,False,median
sheep,rank-1,596,gemini-3-flash-preview,18,30,1,bee,animals-gen,hills,['Farm'],False,['Insects'],True,sheep,True,median
goat,rank-1,596,gemini-3-flash-preview,19,30,1,hamster,animals-gen,hills,['Farm'],False,"['Pets', 'Rodents']",True,goat,False,median
dog,rank-1,596,gemini-3-flash-preview,20,30,1,gerbil,animals-gen,hills,"['Canine', 'Pets']",True,"['Pets', 'Rodents']",False,dog,True,median
cat,rank-1,596,gemini-3-flash-preview,21,30,1,seagull,animals-gen,hills,['Pets'],False,['Bird'],True,cat,False,median
rabbit,rank-1,596,gemini-3-flash-preview,22,30,1,mouse,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['Bird', 'Rodents']",False,rabbit,False,median
hamster,rank-1,596,gemini-3-flash-preview,23,30,1,rat,animals-gen,hills,"['Pets', 'Rodents']",False,['Rodents'],False,hamster,False,median
mouse,rank-1,596,gemini-3-flash-preview,24,30,1,alligator,animals-gen,hills,"['Bird', 'Rodents']",False,"['ReptileAmphibian', 'Water']",True,mouse,False,median
lion,rank-1,596,gemini-3-flash-preview,25,30,1,worm,animals-gen,hills,"['African', 'Feline']",True,"['Insects', 'Worms']",True,lion,True,median
tiger,rank-1,596,gemini-3-flash-preview,26,30,1,snake,animals-gen,hills,"['African', 'Feline']",False,"['Farm', 'ReptileAmphibian']",True,tiger,False,median
elephant,rank-1,596,gemini-3-flash-preview,27,30,1,squirrel,animals-gen,hills,['African'],False,"['NorthAmerican', 'Rodents']",True,elephant,False,median
giraffe,rank-1,596,gemini-3-flash-preview,28,30,1,chipmunk,animals-gen,hills,['African'],False,"['NorthAmerican', 'Rodents']",False,giraffe,False,median
zebra,rank-1,596,gemini-3-flash-preview,29,30,1,horse,animals-gen,hills,['African'],False,"['BeastsOfBurden', 'Farm']",True,zebra,False,median
monkey,rank-1,596,gemini-3-flash-preview,30,30,1,camel,animals-gen,hills,"['African', 'Primates']",False,"['African', 'BeastsOfBurden']",False,monkey,True,median
dog,rank-1,796,gemini-3-flash-preview,1,33,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,796,gemini-3-flash-preview,2,33,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
hamster,rank-1,796,gemini-3-flash-preview,3,33,1,fish,animals-gen,hills,"['Pets', 'Rodents']",False,"['Fish', 'Water']",True,hamster,True,median
rabbit,rank-1,796,gemini-3-flash-preview,4,33,1,zebra,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['African'],True,rabbit,True,median
guinea_pig,rank-1,796,gemini-3-flash-preview,5,33,1,lion,animals-gen,hills,"['Pets', 'Rodents']",False,"['African', 'Feline']",False,guinea pig,True,median
goldfish,rank-1,796,gemini-3-flash-preview,6,33,1,tiger,animals-gen,hills,"['Fish', 'Pets', 'Water']",False,"['African', 'Feline']",False,goldfish,True,median
fish,rank-1,796,gemini-3-flash-preview,7,33,1,bear,animals-gen,hills,"['Fish', 'Water']",False,['NorthAmerican'],True,fish,False,median
shark,rank-1,796,gemini-3-flash-preview,8,33,1,poodle,animals-gen,hills,"['Fish', 'Water']",False,"['Canine', 'Pets']",True,shark,False,median
whale,rank-1,796,gemini-3-flash-preview,9,33,1,scorpion,animals-gen,hills,"['Fish', 'Water']",False,['Insects'],True,whale,False,median
dolphin,rank-1,796,gemini-3-flash-preview,10,33,1,spider,animals-gen,hills,"['Insects', 'Water']",False,"['Arachnid', 'Farm']",True,dolphin,False,median
seal,rank-1,796,gemini-3-flash-preview,11,33,1,alligator,animals-gen,hills,"['Arctic', 'Water']",False,"['ReptileAmphibian', 'Water']",True,seal,True,median
penguin,rank-1,796,gemini-3-flash-preview,12,33,1,monkey,animals-gen,hills,"['Arctic', 'Bird', 'Water']",False,"['African', 'Primates']",True,penguin,True,median
polar_bear,rank-1,796,gemini-3-flash-preview,13,33,1,ape,animals-gen,hills,['Arctic'],False,['Primates'],False,polar bear,True,median
bear,rank-1,796,gemini-3-flash-preview,14,33,1,frog,animals-gen,hills,['NorthAmerican'],True,"['ReptileAmphibian', 'Water']",True,bear,True,median
deer,rank-1,796,gemini-3-flash-preview,15,33,1,butterfly,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Insects'],True,deer,True,median
moose,rank-1,796,gemini-3-flash-preview,16,33,1,bird,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Bird'],True,moose,False,median
wolf,rank-1,796,gemini-3-flash-preview,17,33,1,cardinal,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Bird'],False,wolf,True,median
fox,rank-1,796,gemini-3-flash-preview,18,33,1,iguana,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['ReptileAmphibian'],True,fox,True,median
lion,rank-1,796,gemini-3-flash-preview,19,33,1,turtle,animals-gen,hills,"['African', 'Feline']",True,"['ReptileAmphibian', 'Water']",False,lion,True,median
tiger,rank-1,796,gemini-3-flash-preview,20,33,1,rabbit,animals-gen,hills,"['African', 'Feline']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,tiger,False,median
cheetah,rank-1,796,gemini-3-flash-preview,21,33,1,wolf,animals-gen,hills,"['African', 'Feline']",False,"['Canine', 'NorthAmerican']",False,cheetah,False,median
leopard,rank-1,796,gemini-3-flash-preview,22,33,1,groundhog,animals-gen,hills,"['African', 'Feline']",False,"['Rodents', 'Weasels']",True,leopard,False,median
zebra,rank-1,796,gemini-3-flash-preview,23,33,1,squirrel,animals-gen,hills,['African'],False,"['NorthAmerican', 'Rodents']",False,zebra,False,median
giraffe,rank-1,796,gemini-3-flash-preview,24,33,1,chihuahua,animals-gen,hills,['African'],False,['Canine'],True,giraffe,False,median
elephant,rank-1,796,gemini-3-flash-preview,25,33,1,bulldog,animals-gen,hills,['African'],False,['Canine'],False,elephant,False,median
rhino,rank-1,796,gemini-3-flash-preview,26,33,1,bullfrog,animals-gen,hills,['African'],False,['ReptileAmphibian'],True,rhino,False,median
hippo,rank-1,796,gemini-3-flash-preview,27,33,1,dinosaur,animals-gen,hills,,True,"['Dinosaur', 'ReptileAmphibian']",False,hippo,False,median
monkey,rank-1,796,gemini-3-flash-preview,28,33,1,crawfish,animals-gen,hills,"['African', 'Primates']",True,['Water'],True,monkey,True,median
gorilla,rank-1,796,gemini-3-flash-preview,29,33,1,hamster,animals-gen,hills,"['African', 'Primates']",False,"['Pets', 'Rodents']",True,gorilla,False,median
chimpanzee,rank-1,796,gemini-3-flash-preview,30,33,1,guineapig,animals-gen,hills,"['African', 'Primates']",False,"['Pets', 'Rodents']",False,chimpanzee,False,median
snake,rank-1,796,gemini-3-flash-preview,31,33,1,pig,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Farm'],True,snake,True,median
lizard,rank-1,796,gemini-3-flash-preview,32,33,1,cow,animals-gen,hills,['ReptileAmphibian'],False,"['Bovine', 'Farm']",False,lizard,False,median
turtle,rank-1,796,gemini-3-flash-preview,33,33,1,bull,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Feline'],True,turtle,True,median
dog,rank-1,286,gemini-3-flash-preview,1,31,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True,dog,False,median
cat,rank-1,286,gemini-3-flash-preview,2,31,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False,cat,False,median
hamster,rank-1,286,gemini-3-flash-preview,3,31,1,horse,animals-gen,hills,"['Pets', 'Rodents']",False,"['BeastsOfBurden', 'Farm']",True,hamster,False,median
guinea_pig,rank-1,286,gemini-3-flash-preview,4,31,1,cow,animals-gen,hills,"['Pets', 'Rodents']",False,"['Bovine', 'Farm']",False,guinea pig,False,median
rabbit,rank-1,286,gemini-3-flash-preview,5,31,1,pig,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Farm'],False,rabbit,True,median
horse,rank-1,286,gemini-3-flash-preview,6,31,1,dolphin,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,"['Insects', 'Water']",True,horse,True,median
cow,rank-1,286,gemini-3-flash-preview,7,31,1,mouse,animals-gen,hills,"['Bovine', 'Farm']",False,"['Bird', 'Rodents']",True,cow,False,median
pig,rank-1,286,gemini-3-flash-preview,8,31,1,gerbil,animals-gen,hills,['Farm'],False,"['Pets', 'Rodents']",False,pig,False,median
sheep,rank-1,286,gemini-3-flash-preview,9,31,1,chicken,animals-gen,hills,['Farm'],False,"['Bird', 'Farm']",True,sheep,False,median
goat,rank-1,286,gemini-3-flash-preview,10,31,1,goose,animals-gen,hills,['Farm'],False,['Water'],True,goat,False,median
